CAMS-CSM1-0,4.443374472087797
MIROC6,5.075748988641711
GISS-E2-1-G,5.132494040046886
NorESM2-LM,5.1403509831970595
MIROC-ES2L,5.350901350029898
BCC-CSM2-MR,5.862566106441299
GISS-E2-1-H,5.927573585413899
MRI-ESM2-0,6.603966679726284
BCC-ESM1,6.6505168712144815
SAM0-UNICON,7.436034561120744
GFDL-CM4,7.6702283876118775
EC-Earth3-Veg,8.06409323996796
NESM3,8.923383463621757
IPSL-CM6A-LR,8.966163225968039
CESM2-WACCM,9.206069182694343
CNRM-ESM2-1,9.308267931166114
CNRM-CM6-1,9.589815082354109
CESM2,10.237067067918854
UKESM1-0-LL,10.533042034804915
E3SM-1-0,10.578804602123864
HadGEM3-GC31-LL,10.814856440151704
CanESM5,11.182602215423397
